ID,Name,Glottocode,Glottolog_Name
1,Cupeño,cupe1243,Cupeño
2,Cahuilla,cahu1264,Cahuilla
3,Luiseño,luis1253,Luiseno
4,Serrano,serr1255,Serrano
5,Kawaiisu,kawa1283,Kawaiisu
6,Western Mono,mono1275,Mono (USA)
7,Chemehuevi,chem1251,Chemehuevi
8,Southern Paiute,sout2969,Southern Paiute
9,Southern Ute,utee1244,Ute
10,Comanche,coma1245,Comanche
11,Northern Paiute,nort2954,Northern Paiute
12,Yuma,quec1382,Quechan
13,Tümpisa Shoshone,pana1305,Panamint
14,Yokuts Palewyami,pale1254,Palewyami Yokuts
15,Central Sierra Miwok,cent2140,Central Sierra Miwok
16,Esselen,esse1238,Esselen
17,Gabrielino,tong1329,Tongva
18,Kitanemuk,serr1255,Serrano
19,Maidu,nort2952,Northeast Maidu
20,Mutsun,muts1243,Mutsun
21,Nisenan,nise1244,Nisenan
22,Northern Sierra Miwok,nort2968,Northern Sierra Miwok
23,Plains Miwok,plai1259,Plains Miwok
24,Salinan M,sali1253,Salinan
25,Southern Sierra Miwok,sout2985,Southern Sierra Miwok
26,Tübatulabal,tuba1278,Tübatulabal
27,Washo,wash1253,Washo
28,Wintu,wint1259,Wintu
29,Yokuts Yawdanchi,yoku1256,Yokuts
30,Yuki,yuki1243,Yuki
31,Yavapai,hava1248,Havasupai-Walapai-Yavapai
32,Iipay 'Aa,kumi1248,Kumiai
33,Cocopa,coco1261,Cocopa
34,Kiliwa,kili1268,Kiliwa
35,Mojave,moha1256,Mohave
36,Wappo,wapp1239,Wappo
37,Seri (Comcaac),seri1257,Seri
38,Lake Miwok,lake1258,Lake Miwok
39,Chumash Barbareno,barb1263,Barbareño
40,Chumash Ventureno,vent1242,Ventureño
41,Chumash Obispeno,obis1242,Obispeño
42,Chumash Cruzeno,cruz1243,Cruzeño
43,Chumash Ineseno,ines1240,Ineseño
44,Bankalachi Toloim,tuba1278,Tübatulabal
45,Yokuts Yowlumne,yoku1256,Yokuts
46,Big Smokey Valley Shoshone,shos1248,Shoshoni
47,Salinan A,sali1253,Salinan
48,Achagua,acha1250,Achagua
49,Yanesha',yane1238,Yanesha'
50,Apurinã,apur1254,Apurinã
51,Asheninka Apurucayali,ajyi1238,Ajyíninka Apurucayali
52,Baniwa,bani1255,Baniwa
53,Bare,bare1276,Baré
54,Kabiyari ,cabi1241,Cabiyarí
55,"Maipure [--], Arawakan",maip1246,
56,Mandawaka,mand1448,Mandahuaca
57,Paresi ,pare1272,Parecís
58,Piapoco ,piap1246,Piapoco
59,Resígaro,resi1247,Resígaro
60,Tariana,tari1256,Tariana
61,Wapishana,wapi1253,Wapishana
62,Warekena ,guar1293,Guarequena
63,Wayuu,wayu1243,Wayuu
64,Yavitero,yavi1244,Yavitero
65,Yukuna ,yucu1253,Yucuna
66,Arutani,arut1244,Arutani
67,Sape,sape1238,Sapé
68,Bora,bora1263,Bora
69,Muinane ,muin1242,Muinane
70,Akawaio,akaw1239,Akawaio
71,Akawaio/Ingariko dialect,akaw1239,Akawaio
72,Carijona,cari1279,Carijona
73,Eñepa,enap1235,E'napa Woromaipu
75,Makushi ,macu1259,Macushi
76,Mapoyo,mapo1246,Mapoyo
77,Pemon,pemo1248,Pemon
78,Wai Wai,waiw1244,Waiwai
79,Waimiri Atroari,waim1253,Waimiri-Atroari
80,Yabarana,yaba1248,Yabarana
81,Yukpa,yukp1241,Yukpa
82,Muisca,chib1270,Chibcha
